name,image,link,age,sex,breed,town,postcode,charity,description,date
,,,,,,,TA20 3DH,Ferne Animal Sanctuary,,09/15/2025
,,,,,,,TA20 3DH,Ferne Animal Sanctuary,,09/15/2025
Shadow,https://www.ferneanimalsanctuary.org/wp-content/uploads/2024/09/shadow-4.0-scaled.jpg,https://www.ferneanimalsanctuary.org/animal/shadow/,,Sex : Male neutered,Breed : Saluki x,,TA20 3DH,Ferne Animal Sanctuary,"This is Shadow aka Shadrack, he’s a fun character looking for an adult only home and someone to continue his training and appropriate socialisation with people and dogs.  He can bark in new situations or get over excited, he sometimes just doesn’t know what to do with his body. Shadow was a welfare case and had been living in a car, he has had very limited socialisation with many people and dogs.  The big wide world can be a little overstimulating for him, understandably, so introductions to new people and experiences will need to be taken very slowly.  We love this boy, he is so funny and quite the goof but you do need to earn his trust. His ideal new owner will have tons of patience and be prepared to take life at a pace that Shadow can handle, ideally in a more rural area, in return you will end up with a loyal, funny companion to keep you entertained!   He loves to play with toys, enjoys having zoomies and has begun to enjoy and ask for affection.  Shadow is house trained, playful with other small/big dogs off lead, use to being left 2/3 hours and walks to a loose lead. Shadow does whine while travelling but will settle after a short time, due to his high prey drive – he is a sighthound after all –  its best not to rehome him with cats or small furries and he would be better suited as the only dog in the home. If you can give this lovely chap his forever home then please apply online.",09/15/2025
Molly,https://www.ferneanimalsanctuary.org/wp-content/uploads/2025/01/molly-z-scaled.jpg,https://www.ferneanimalsanctuary.org/animal/molly/,,Sex : Female neutered,Breed : Lab x Rottweiler,,TA20 3DH,Ferne Animal Sanctuary,"This is Molly she is sweet older girl looking for an adult only home with no small children or visiting children. Molly could live with teenagers after careful introductions. Molly’s ideal home would be with someone to just relax with and watch the world go by.  She loves to spend time with her person, she will just lay at your feet in the garden and enjoy your company and the fresh air, cuddles and belly rubs are by far her preferred activity, she will give you all her love and loyalty for this!  She is house trained, muzzle trained, travels well, walks on a loose lead. Molly is comfortable being left 2/3 hours. Molly does not like other dogs if they approach her space on lead and she cannot be let off lead unless she is in a secure space due to her dog reactivity so she will need to be muzzled in public places, we all know that at some point an off lead dog could get in your path. She is easily manageable in the right environment.  If you can give Molly a loving home then please apply online.",09/15/2025
,,,,,,,TA20 3DH,Ferne Animal Sanctuary,,09/15/2025
Miso,/sites/default/files/d8/styles/landscape_large/public/968746.jpg.webp?itok=4izAalmD,https://www.bluecross.org.uk/pet/miso-1168251,8 years 4 months,Male,Lhasa Apso,Suffolk rehoming centre,,Blue Cross,"About me

Meet Miso, a cheery little chap on the look out for his new home.

Miso is a real little character who generally has an outgoing and adventurers’ approach to life.

He does have some complex behavioural needs. Although Miso does enjoy physical contact, he can also find it overwhelming and has in the past used certain behaviours such as growling and snapping to communicate this. Because of this we are looking for a home with owners who have a level of experience and or knowledge of dogs with behavioural needs such as Miso’s.

Miso enjoys his walks and spending time with his handlers. He may be small but he’s full of life!

Miso enjoys meeting other dogs and can make friends quickly. He can also become quickly frustrated around other dogs. Miso will need continued support with this and ideally access to low dog populated walking areas too where this can be worked on successfully. Miso could live with another suitable companion that has lived with dogs before.

Miso is looking for an adult home only, without any small animals or cats.

Miso can find being left alone worrying so is looking for owners who will be home during the day to help him feel secure and settle him in to a new routine.

Please adopt Miso",09/15/2025
Rosie,/sites/default/files/d8/styles/landscape_large/public/974896.jpg.webp?itok=M-jpcD1D,https://www.bluecross.org.uk/pet/rosie-1166790,4 years 8 months,Female,Crossbreed - Large,Suffolk rehoming centre,,Blue Cross,"About me

Say hello to Rosie, a larger-than-life lady with a heart as big as her paws!

This strong and spirited girl is full of character and brings joy wherever she goes. She’s smart, sassy, and showing great progress with her training – especially when it comes to good manners on the lead and listening to her people.

Rosie is incredibly affectionate – a real cuddle bug who adores sofa snuggles and being close to her humans. Her ideal day involves a bit of exploring, a bit of learning, and a whole lot of love.

She’s looking for a home in a quieter, lower dog-populated area where she can enjoy her walks without feeling overwhelmed. Rosie thrives in a calm environment where she can relax, have fun, and continue to build confidence.

Rosie is looking for:

A quieter area for stress-free walks

A loving home where cuddles are in abundance

Continued positive reinforcement training to help her flourish

A home without other dogs or a cat

If you're after a loyal companion with tons of charm, Rosie could be your perfect match. She's ready to fill your life with laughter, love, and a little bit of cheeky mischief.

Could Rosie be your next adventure buddy?

Due to her size Rosie will need to be walked by someone physically capable of managing her. Large bull breeds are not usually suited to first time or inexperienced dog owners, and we always recommend anyone thinking about adopting or buying a large bull breed to thoroughly research the dog’s background beforehand.

Please adopt Rosie",09/15/2025
Nemo,/sites/default/files/d8/styles/landscape_large/public/963457.jpg.webp?itok=zWTXhkZF,https://www.bluecross.org.uk/pet/nemo-1171842,10 years 0 months,Male,Alaskan Malamute,Oxfordshire: Burford rehoming centre,,Blue Cross,"About me

Brave and beloved Nemo is on the hunt for new owners, could that be you?

This handsome boy loves nothing more than mooching around saying hello to anyone that is passing by, however be warned, his most animated greetings are saved for his favourite people - they often involve prancing, maybe a toy or two in his mouth, and a sweet 'awwooo'!

Despite his age and being a bit arthritic, Nemo loves being out and about on walks, sniffing the hedgerows and exploring his surroundings. In his mind, age is just a number and with a bit of pain relief he acts like a 2-year-old! He very much enjoys using his brain too, scent games, snuffle mats, puzzle feeders, you name it, Nemo has tried and loved it.

Travelling isn't an issue for this explorer, so if his new owners want to go on dog friendly holidays or do a lot of driving, he would be more than happy to join them as he loves nothing more than the wind in his fur and having a nosey through the windows.

New owners need to be aware of his prey drive though, he hasn't mellowed in his old age and will chase small furry animals if given the chance, so he can't live with cats. Nemo will be able to give with school age children, but will need to be the only pet in his new home.

He is social with other dogs when out on walks regardless of their size, age, or behaviour, so is happy to make walking friends, however he can be a tad too keen to put his nose where it doesn't belong and for a tad too long, so we are looking for owners who can notice and manage this - the team here at the centre can show you what this looks like. Nemo could share his home with a well matched dog of similar age or lifestyle.

Nemo has previously been left for up to an hour and a half, but will need some help building back up to this after his stay in kennels.

If you have space in your heart and home for the most deserving of dogs, please get in touch today!

Please adopt Nemo",09/15/2025
Hugo,/sites/default/files/d8/styles/landscape_large/public/957675.jpg.webp?itok=ANjycTee,https://www.bluecross.org.uk/pet/hugo-1173386,5 years 0 months,Male,"German Shepherd Dog
Cross",West Midlands: Bromsgrove rehoming centre,,Blue Cross,"About me

Meet handsome Hugo!

Hugo is looking for an active home that would be able to take him on many adventures and to meet dog friends along the way. After time exploring, he will happily spend some time cuddled up in his bed.

Hugo would benefit from being taught slightly better manners on lead as he can be strong to begin with. He would also like new owners who understand when he may need some mental stimulation through snuffle mats and other enrichment activities too.

Bouncy, energetic and loving Hugo would enjoy a game of tug with new friends but adores chasing after a ball that you've thrown for him the most. He can be clumsy at times when bouncing around so we would say that he could live with older school-aged children 14+.

Due to being a bigger breed, Hugo will need to be walked by someone physically capable of managing him.

Please adopt Hugo",09/15/2025
Elvis,/sites/default/files/d8/styles/landscape_large/public/958009.jpg.webp?itok=1Vkl1XOD,https://www.bluecross.org.uk/pet/elvis-1170984,2 years 11 months,Male,Bulldog,"Devon: Exeter rehoming, advice and behaviour unit",,Blue Cross,"About me

**Elvis is looking for a home local to Devon**

Elvis is a beautiful boy looking for a home where he can shine like the star he is!

He is a playful and affectionate boy that would love a home that enjoys going on adventures and learning new tricks when the opportunity arises! He would be better for someone to be around most of the time to start with to build up his time alone as he has always had company previously.

This handsome guy has a lot of energy and is eager to please with learning new things. He has loved doing various enrichment each day which he would love to continue this in the new home.

Although Elvis is dog social with the correct introductions, he is still learning manners and how to manage his excitement levels around other dogs. We believe he would be best to be the only dog in the home for now to help him focus on building his confidence and independence.

Elvis would love a home where he can blossom, could he be the one for you?

Please adopt Elvis",09/15/2025
Hugo,,https://www.bluecross.org.uk/pet/hugo-1174615,1 years 0 months,Male,"Jack Russell Terrier
Cross",Hertfordshire rehoming centre,,Blue Cross,"About me

Meet this handsome lively boy, Hugo!

Hugo is a young busy pup who doesn’t like to stay still for too long, with his high energy levels Hugo is looking for an active family, who will enjoy accompanying him on long regular walks exploring and sniffing whatever the weather! So, if keeping up your steps is something you like to do then Hugo would be the perfect pal for you! He also loves to say hello to doggie pals and human friends when he is out on his walks and is zealous with his greetings!

Hugo is a clever boy who needs a patient family who would like to engage and support him with training to use his young brain, so that he can become the best version of himself. Hugo needs a family who will enjoy training as much as him, whilst he learn some doggie training skills.

Hugo’s energy does continue into the home as he loves to play with everything and have a run around the garden. Hugo will need continued support with learning to switch off and engage in downtime in the home, BlueCross will offer guidance on this.

This bouncy boy would be better suited to live with older children as he can be very bouncy and quite animated during play, and they would need to know when Hugo would need his own space to settle.

Hugo could have dog friends to join on walks in his new home, but would find it too exciting to live with another dog. Due to having a high prey drive Hugo cannot live with cats or smallies as they would be too fun to chase!

Please apply below if you are interested in adopting this fantastic boy.

Please adopt Hugo",09/15/2025
Todd,/sites/default/files/d8/styles/landscape_large/public/968308.jpg.webp?itok=ex2Vvw1B,https://www.bluecross.org.uk/pet/todd-1174134,3 years 4 months,Male,Jack Russell Terrier,Hertfordshire rehoming centre,,Blue Cross,"About me

Meet the lovely the Todd.

Todd is a sweet boy who enjoys taking his time to get to know you before showing his affectionate side. Once settled, he absolutely loves a cuddle, whether that’s snuggling up next to you or curling up with his favourite soft toy.

While he’s happy to give a polite hello to smaller, calm dogs, he prefers not to approach most dogs and keeps a polite distance from them. He would therefore thrive in a home where he doesn’t have to meet many dogs when he’s out and about and would need to be the only dog in the home where he can relax and enjoy a fuss without feeling overwhelmed.

Todd could live with older children who understand that he may initially need a bit of space. His ideal home would be with someone who is home most of the day to help him settle in and time alone can be gradually built.

Todd has some ongoing medical, which is currently managed with medication. His new owners would need to be help to support this.

If you’re looking for a gentle, loving friend to share your life with, Todd could be the perfect match so pleas apply today.

Please adopt Todd",09/15/2025
Elvis,/sites/default/files/d8/styles/landscape_large/public/970196.jpg.webp?itok=pI1ovJuh,https://www.bluecross.org.uk/pet/elvis-1174621,3 years 1 months,Male,Greyhound,Yorkshire: Thirsk rehoming centre,,Blue Cross,"About me

Meet Elvis, the stunning boy with a captivating presence! From the moment he enters a room, Elvis’s charm and good looks turn heads. His sleek coat and striking features make him stand out, but it’s his warm personality that truly wins hearts. Elvis is a gentle soul who radiates confidence and kindness, effortlessly spreading happiness wherever he goes.

His playful spirit and lovable antics never fail to bring smiles to everyone he meets. Whether he’s exploring the outdoors or relaxing at home, Elvis’s friendly nature makes him an instant favorite.

While he’s generally confident, Elvis can be a little cautious around other dogs, so he would thrive best as the only pet in his new home. His new family will need to support him with gentle guidance and ongoing training to help him feel secure out and about. Elvis walks beautifully on a lead and is happy to wear a muzzle when needed. He would enjoy a calm home with older children who can give him the space he needs to settle comfortably.

If you’re ready to offer Elvis a life of luxury and love, please apply today – he’s eager to become your new best friend!

Please adopt Elvis",09/15/2025
Timber,/sites/default/files/d8/styles/landscape_large/public/970305.jpg.webp?itok=lKdJnY_C,https://www.bluecross.org.uk/pet/timber-1173807,3 years 2 months,Male,"Doberman
Cross","Devon: Exeter rehoming, advice and behaviour unit",,Blue Cross,"About me

This gentle giant is Timber! He is a beautiful, friendly and intelligent boy with so much love and joy to offer a new home. He has some ongoing training as he is still a young bouncy dog but is social boy that loves fuss from anyone he meets. He enjoys play time with different toys and is engaged with learning new things when training.

He is an energetic boy that needs a lot of mental and physical stimulation, he particularly enjoys food puzzles and games to keep him busy when he isn’t going on long explorations. He can be left however, we would recommend building this slowly to start with as he gets used to a new environment and routine.

He is dog social and could potentially live with another dog that have a similar temperament to Timber. He would be best not to live with a cat due to his excitement levels around them out of the house. He could live with school aged children that are comfortable with a big, bouncy boy!

Could Timber be the boy for you?

Please adopt Timber",09/15/2025
Jax,/sites/default/files/d8/styles/landscape_large/public/970449.jpg.webp?itok=pXZZsd15,https://www.bluecross.org.uk/pet/jax-1174902,6 years 6 months,Male,"Staffordshire Bull Terrier
Cross",West Midlands: Bromsgrove rehoming centre,,Blue Cross,"About me

Jax is a handsome gentleman looking for a home with lots of fuss, opportunities for play and be spoilt like a king!

He is a very social boy that has good relationships with humans or dogs both in and out of the home. He would be happy to share his home with young children, a dog of a similar temperament or a dog savvy cat that is confident around playful dogs.

Jax is able to be left for a few hours but mainly enjoys the company of humans and relishes in affection and love.

Could this gentleman be the one for you?

*He is still under assessment but please do apply if you are interested and we will be contacting people in due course!*

Please adopt Jax",09/15/2025
Whiskey,,https://www.bluecross.org.uk/pet/whiskey-1175062,0 years 11 months,Female,Crossbreed - Large,Hertfordshire rehoming centre,,Blue Cross,"About me

Meet Whiskey,

Whiskey is a bundle of fun and keeps everyone entertained with her puppy-like antics. As Whiskey is only 10 months old, she is looking for a home where she will be given guidance and ongoing training so she can grow up to be the best version of herself. At the centre, Whiskey has been keen to learn and likes to show off her 'sits' and 'downs'.

Whiskey can be a little underconfident at times and will need new owners who can read her body language and know when she is uncomfortable. Whiskey is friendly and affectionate with people she knows and loves getting all the fuss and attention.

Whiskey has been keen to greet dogs, but can be very over-excited so will need some support to encourage polite interactions. Whiskey could live with a tolerant dog that will be comfortable with her full-on approach.

Whiskey can be quite bouncy and excitable at times and is best suited to a home with older children.

Whiskey can be strong on lead when she is excited and will need new owners who can manage this.

If you are interested in giving this lovely girl a home, please fill out an application form!

Please adopt Whiskey",09/15/2025
Sazzy,,https://www.bluecross.org.uk/pet/sazzy-1175595,7 years 0 months,Male,Greyhound,Oxfordshire: Burford rehoming centre,,Blue Cross,"About me

Meet Sazzy!

This sweet gentleman is on the look out for new owners who can show him what pet life is all about, in a slow paced home with a big sofa for him to snooze on.

Sazzy needs to learn all the basics in life, with a new family who have the time to help him grown in confidence and get used to a home environment. He is looking for a new home with a secure garden to explore in and help with toilet training, and with someone around for most of the day so that any time left alone could be built up gradually at his own pace.

He loves to be with his familiar people, and will look to them for reassurance with a gentle lean in to you and enjoys a fuss or good bum scratch! He won't say no to a treat or two either.

Sazzy could share his new home with school age children. Sazzy has lots of experience making friends with fellow Greyhounds but he is less familiar with other breeds of dog. He is slowly building confidence meeting a wide variety of dogs on his walks if they are calm and steady so he may be able to share his new home with a well matched dog, especially another sighthound! But no cats or small furries as he would chase them!

If you have a greyhound shaped hole in your life, and the time to help settle Sazzy in. Please apply today.

Please be aware, Sazzy is awaiting a dental and will need this doing before being rehomed.

Please adopt Sazzy",09/15/2025
Rocko (with Koko),,https://www.bluecross.org.uk/pet/rocko-with-koko-1174958,8 years 4 months,Male,Chihuahua (Smooth Coat),"South Yorkshire: Sheffield rehoming, advice and behaviour unit",,Blue Cross,"About me

Meet Rocko and Koko – The sweetest little duo looking for their new home.

Rocko and Koko share a wonderful bond and are looking for a home together. They bring out the best in each other and are sure to make a very rewarding addition to the right home.

Koko is the more confident of the two. She enjoys meeting new people and forms lovely relationships once she gets to know you. Her calm and steady nature helps Rocko feel braver, and she is a real source of comfort for him.

Rocko is a gentle boy who can be nervous in new situations, but with time, patience, and the steady reassurance of his best friend Koko, he begins to relax and feel more at ease. Once Rocko has built a relationship with you, he truly starts to show his affectionate and cuddly side.

They are on the lookout for a quiet home, and can live with secondary school–aged children and above. They are not able to live with cats but may be able to live with another dog.

Because they are so closely bonded, Rocko and Koko must be rehomed together. They are often found cuddled up in bed together or chasing each other around the garden. They are looking for a calm and understanding home where Rocko can take things at his own pace and Koko can continue to shine.

Rocko and Koko are a tiny duo with big personalities. With a little patience and a lot of love, they will bring great joy to their new family.

Please adopt Rocko (with Koko)",09/15/2025
Koko (With Rocko),,https://www.bluecross.org.uk/pet/koko-with-rocko-1175648,12 years 8 months,Female,Chihuahua (Smooth Coat),"South Yorkshire: Sheffield rehoming, advice and behaviour unit",,Blue Cross,"About me

Meet Rocko and Koko – The sweetest little duo looking for their new home.

Rocko and Koko share a wonderful bond and are looking for a home together. They bring out the best in each other and are sure to make a very rewarding addition to the right home.

Koko is the more confident of the two. She enjoys meeting new people and forms lovely relationships once she gets to know you. Her calm and steady nature helps Rocko feel braver, and she is a real source of comfort for him.

Rocko is a gentle boy who can be nervous in new situations, but with time, patience, and the steady reassurance of his best friend Koko, he begins to relax and feel more at ease. Once Rocko has built a relationship with you, he truly starts to show his affectionate and cuddly side.

They are on the lookout for a quiet home, and can live with secondary school–aged children and above. They are not able to live with cats but may be able to live with another dog.

Because they are so closely bonded, Rocko and Koko must be rehomed together. They are often found cuddled up in bed together or chasing each other around the garden. They are looking for a calm and understanding home where Rocko can take things at his own pace and Koko can continue to shine.

Rocko and Koko are a tiny duo with big personalities. With a little patience and a lot of love, they will bring great joy to their new family.

Please adopt Koko (With Rocko)",09/15/2025
Orchid,,https://www.bluecross.org.uk/pet/orchid-1175063,2 years 7 months,Female,French Bulldog,Hertfordshire rehoming centre,,Blue Cross,"About me

Meet beautiful Orchid,

Orchid is the sweetest of girls who loves a chew on a tough toy and a snooze next to her favourite people.

She loves nothing more than getting out on her walks, taking in the scents and sights. She is super friendly, happily greeting new people she meets. When seeing other dogs on walks she can be keen to pull and meet but quite underconfident during the interaction. New owners would need to support Orchid with her training, reading her body language and follow the guidance of BlueCross staff to encourage calmer interactions and help build her confidence.

After her adventures, Orchid can be found having a chew on a toy before falling asleep. She is an affectionate, easy-going girl and is happiest when in the company of her favourite people lapping up all the attention.

Orchid could live with older teenagers that are able to read her body language and give her space when needed.

She would prefer to be the only pet in the home. She cant live with cats or smallies due to them being too interesting to chase.

Flat faced (brachycephalic) dogs suffer from additional health problems, which may impact their quality of life. We always recommend anyone thinking about adopting or buying a flat faced dog to thoroughly research the breed beforehand. Our expert team will be able to give you tips on exercise and weight management and advice on any support that may be needed.

If you can offer this lovely girl a home, please apply below.

Please adopt Orchid",09/15/2025
Ashley (and Bella),/sites/default/files/d8/styles/landscape_large/public/978468.jpg.webp?itok=xWQ4yT97,https://www.bluecross.org.uk/pet/ashley-and-bella-1174751,2 years 2 months,Female,Miniature Poodle,Hertfordshire rehoming centre,,Blue Cross,"About me

Meet the wonderful duo - Ashley and Bella!

Ashley is being rehomed as a pair with Bella. These two girls have a lovely relationship and bring out the best in each other. They could live with another dog, and potentially be rehomed with a confident teenager that don't mind a bit of barking and jumping up when these two get excited.

Ashley is a sweet, sensitive miniature poodle with a big heart and an even bigger love for her humans.

She’s the type of dog who wants to be by your side all day—following you from room to room and happily curling up on your lap whenever she gets the chance. Her affectionate and loyal nature makes her an ideal companion.

Ashley has often looked to her sister Bella for reassurance at the centre, especially in unfamiliar settings. She can be a little underconfident meeting other dogs on her walks, but keen to try and make friends!

She’s playful and active, and her favourite thing is being close to the people she loves.

Please apply if you would like to offer these lovely sisters a home!

Please adopt Ashley (and Bella)",09/15/2025
Bella (and Ashley),/sites/default/files/d8/styles/landscape_large/public/978470.jpg.webp?itok=EjXpPiFS,https://www.bluecross.org.uk/pet/bella-and-ashley-1174752,3 years 5 months,Female,Miniature Poodle,Hertfordshire rehoming centre,,Blue Cross,"About me

Meet the wonderful duo - Bella and Ashley!

Bella is being rehomed as a pair with Ashley. These two girls have a lovely relationship and bring out the best in each other. They could live with another dog, and potentially be rehomed with a confident teenager that don't mind a bit of barking and jumping up when these two get excited.

Bella is a gorgeous miniature poodle with a love for playtime and adventures. She is a confident and curious girl, often found playing independently or having a snooze after a good play session or walk. She's especially motivated by toys—drop a ball at her feet and she’ll be ready for an endless game of fetch!

Bella is polite and comfortable when greeting other dogs on her walks. She sometimes has a quick play but is just as happy saying hello then continuing on doing her own thing.

Please apply if you would like to offer Bella and Ashley a loving home.

Please adopt Bella (and Ashley)",09/15/2025
Sophie,/sites/default/files/d8/styles/landscape_large/public/960351.jpg.webp?itok=kUyd14Gk,https://www.bluecross.org.uk/pet/sophie-1174041,9 years 11 months,Female,"Staffordshire Bull Terrier
Cross",West Midlands: Bromsgrove rehoming centre,,Blue Cross,"About me

Meet sweet Sophie!

She is a beautiful girl looking for a home where she can shine like the super star she is!

She is a playful and affectionate girl that would love a home that enjoys going on adventures and learning new tricks when the opportunity arises!

She would be better for someone to be around most of the time to start with to build up her time alone whilst she settles in and finds her paws.

This sweetheart has plenty of energy still and is eager to please with learning new things. She has loved doing various enrichment each day which she would love to continue with in the new home.

Although Sophie is dog social with the correct introductions, she is still learning manners and how to manage herself around other dogs. We believe she would be best to be the only dog in the home for now to help her focus on building confidence and her independence.

Sophie would love a home where she can blossom, could she be the one for you?

Please adopt Sophie",09/15/2025
Peggy,/sites/default/files/d8/styles/landscape_large/public/979969.jpg.webp?itok=h07hmA2V,https://www.bluecross.org.uk/pet/peggy-1175665,11 years 1 months,Female,Jack Russell Terrier,Yorkshire: Thirsk rehoming centre,,Blue Cross,"About me

Meet Peggy, a gorgeous girly ready to embark on her next chapter. Peggy has a lively spirit and a bright, cheerful personality that lights up every room. Her joyful energy and affectionate nature make her a wonderful companion for those who appreciate a sweet, girly girl with a zest for life. Peggy loves her humans dearly and enjoys curling up on your lap, making her a perfect partner for relaxing evenings at home.

While she adores her walks, Peggy can sometimes feel a little worried around other dogs. To ensure she feels safe and comfortable, she would thrive as the only dog in the household, with walks scheduled when she’s less likely to encounter too many four-legged friends. She would benefit from a secure garden where she can bask in the sun and have a little playtime, adding to her happiness and well-being.

Peggy is a gentle lady who may be a bit apprehensive at the vets, so an understanding owner who can offer patience and support during formal handling will be ideal. She could share her home with older children who are respectful and willing to give her the time and space she needs to settle in and feel secure. Peggy’s zest for life and loving nature make her a wonderful addition to a caring family ready to give her the love and stability she deserves.

Please adopt Peggy",09/15/2025
Dolly,/sites/default/files/d8/styles/landscape_large/public/982125.jpg.webp?itok=hahW_J0B,https://www.bluecross.org.uk/pet/dolly-1173526,8 years 7 months,Female,Border Collie,"Greater Manchester rehoming, advice and behaviour unit",,Blue Cross,"About me

Meet Dolly!

A sweet girl who loves being active and playing with her toys, with her ball being the favourite!

Dolly enjoys her walks and will enjoy having multiple walks a day, unless it is raining, then Dolly prefers not to get her paws wet! Dolly did used to work on a farm so is kept on lead on walks just in case there happens to be anything to chase, she does follow commands well so once a bond is built in the new home it could be an option to have off lead time in a secure area.

When it is time to settle, Dolly shows off her sweet side, often loving a fuss and snuggling up with you on the sofa. When it is time for saying goodnight she will happily move off onto her own bed unless you invite her sleep with you, she would love to join you!

Dolly will need support during the firework season, having a safe space and lots of reassurance helps Dolly during these times.

Please adopt Dolly",09/15/2025
Adopt Nova,/images/94616c3a-8c53-496b-93aa-c049cd92ee38/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-nova, 8 Years Old, Female,Staffordshire Bull Terrier ,,cf72 9nh,Hope Rescue,"Nova is a gorgeous lady with a heart absolutely bursting with love. 

My details

Staffordshire Bull Terrier 

 Female

 8 Years Old

The perfect home

Currently thriving in her foster home, she’s been showing us just how wonderful family life could be with her – and she’s certainly proven herself to be the queen of sofa snuggles!

Once she’s had a little time to get to know you, Nova’s affectionate side shines through, and she’ll happily lap up every cuddle and fuss you have to offer. She also has a fun, cheeky streak and loves playtime with her toys – it’s impossible not to smile when she’s in her element!

Nova would love to be the only dog in her new home, where she can soak up all the love and attention she deserves. Out on walks, she’s happy to have doggy pals, though she can be a little selective at times, so continued confidence-building will help her flourish.

This sweet girl is already house-trained, walks beautifully on the lead, and once settled, can be left for short periods. Nova could share her home with children aged 10+, who will no doubt adore her loyal and loving nature.

Nova is looking for a family who can offer her the care, companionship, and cuddles she craves – in return, she’ll be the most devoted best friend you could wish for.

Apply to adopt

Share this page
Email
 
Facebook
 
Twitter",09/15/2025
Adopt Fowler,/images/7794b0db-56ab-4963-9651-835061963b90/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-fowler,The perfect home,  3 Years Old,  Male,,cf72 9nh,Hope Rescue,"Calling all Patterdale Terrier lovers – this little chap is ready to steal your heart! 

My details

 Patterdale

  Male

  3 Years Old

The perfect home

True to his breed, Fowler is full of beans and brimming with personality. He adores exploring new places, following his nose wherever it leads, and once he’s checked out every corner, he’s more than happy to come back for fuss and affection.

Out and about, Fowler can be a bit enthusiastic on the lead, but thanks to his size he’s very manageable, especially once he settles into the walk. He’s a bright boy who will thrive with an owner who enjoys adventures and is happy to channel his energy into fun activities.

Fowler could live with children aged 10 years and above who are confident around lively dogs. He’s affectionate and playful, but like many terriers, he can sometimes be a little excitable, so older children who can join in with his training and enjoy his cheeky nature would be a great match.

Fowler’s favourite things? Cheese, chasing after balls, and heading out on new adventures with his people! He is best suited as the only pet in the home – he has a high chase drive and will need a home without cats or small animals, and no other dogs. This way, he can soak up all the attention (and all the cheese!) for himself.

If you’re looking for a lively, loyal companion who will keep you on your toes and fill your life with fun, Fowler could be your perfect match.

Apply to adopt
Share this page
Email
 
Facebook
 
Twitter",09/15/2025
Adopt Promise,/images/83ffa763-6327-4b6e-912d-3fb272b840fb/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-promise, 17 Weeks Old, Female,Pug,,cf72 9nh,Hope Rescue,"At just 17 weeks old, Promise is already living up to her name – she’s full of love, joy, and the promise of being a truly wonderful companion. This sweet Pug has been in a foster home since birth, where she’s been busy building her confidence, learning her puppy manners, and charming absolutely everyone she meets.

My details

Pug

 Female

 17 Weeks Old

The perfect home

Promise could happily share her forever home with a well-matched dog friend (pending successful introductions at the centre). She has also grown up around cats and other animals, so with the right introductions, she’d settle in well alongside them too.

Like all puppies, Promise will need patient adopters who are ready to support her through training, socialisation, and all the fun (and challenges!) of puppyhood. She’s playful, affectionate, and never says no to a good game or a cuddle.

Promise is suspected to have a heart condition called aortic stenosis. This means one of her heart valves may be narrower than normal, causing her heart to work a little harder to pump blood around her body. However, as she is still so young and small, it isn’t possible to give a confirmed diagnosis just yet. She will need to grow a little more before having a repeat heart scan

Promise doesn’t let this hold her back one bit – she’s every inch a typical bouncy, happy puppy who loves exploring, playing, and soaking up affection. Her forever family should be prepared to give her the same experiences, training, and adventures as any other pup, while being mindful of her ongoing health needs.

If you can keep the promise of a loving, understanding home, this little girl will repay you tenfold with affection, loyalty, and endless  Pug wiggles!

Could you be the one to give Promise her happily ever after?

Apply to adopt

Share this page
Email
 
Facebook
 
Twitter",09/15/2025
Adopt Fernando,/images/39c7a235-3029-4364-a4be-fa4569dcdeb1/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-fernando,The perfect home,  2 Years Old,  Male,,cf72 9nh,Hope Rescue,"This stunning boy is as full of personality as he is of love. True to his breed, Fernando is a big-hearted boy who thrives on companionship, play, and having people by his side. 

My details

 American Bulldog Cross

  Male

  2 Years Old

The perfect home

He’s a brilliant mixer with other dogs, socially confident, and even adjusts his greeting and playstyle depending on who he’s meeting. His play can sometimes be a little over the top, but he shows good inhibition and always has the best intentions. Fernando could potentially live with a well-matched dog, pending successful introductions at the centre

With people, Fernando is typically very confident and tactile – he’s a full-body contact kind of lad who adores fuss and attention. In more confined spaces with new people he can feel a little unsure at first, but with gentle introductions he soon shows off his affectionate, cuddly side.

Fernando may also be able to share his home with older children (14+) who are comfortable and confident around large, excitable breeds.

Fernando is intelligent, loyal, and will thrive in a home that can provide him with structure, training, and positive experiences. He may show some slight anxiety in new or novel situations, but with reassurance and gradual exposure in the home, his confidence will only continue to grow.

If you’re looking for a devoted, playful, and affectionate companion who will give you all of his love (and then some), Fernando could be the perfect match.

Apply to adopt
Share this page
Email
 
Facebook
 
Twitter",09/15/2025
